pubmed_id,abstract,topic
7495129,"Renal arteriovenous malformations masquerading as renal cell carcinoma. Renal arteriovenous malformations may have varied clinical and radiographic appearances. Often, it remains difficult to distinguish these lesions from renal cell carcinomas to tailor the most appropriate diagnostic evaluation and therapy. We have encountered 6 patients with renal arteriovenous malformations that masqueraded as renal cell carcinomas and describe their clinical presentation and management.",Immunology
7493841,"A computer-controlled conformal radiotherapy system. II: Sequence processor. A sequence processor (SP) is described as part of a larger computer-controlled conformal radiotherapy system (CCRS). The SP provides the means to accept and then translate highly sophisticated radiation therapy treatment plans into vendor specific instructions to control treatment delivery on a computer-controlled treatment machine. The sequence processor (SP) is a small workstation computer that interfaces to the control computer of computer-controlled treatment machines, and to other parts of the larger CCRS system. The system reported here has been interfaced to a computer-controlled racetrack microtron with two treatment gantries, and also to other linear accelerator treatment machines equipped with multileaf collimators. An extensive design process has been used in defining the role of the SP within the context of the larger CCRS project. Flexibility and integration with various components of the project, including databases, treatment planning system, graphical simulator, were key factors in the development. In conjunction with the planned set of treatment fields, a procedural scripting language is used to define the sequence of treatment events that are performed, including operator interactions, communications to other systems such as dosimetry and portal imaging devices, and database management. A flexible system has been developed to allow investigation into procedural steps required for simulating and delivering complex radiation treatments. The system has been used to automate portions of the acceptance testing for the control system of the microtron, and is used for routine daily quality assurance testing. The sequence processor system described here has been used to deliver all clinical treatments performed on the microtron system in 2 years of clinical treatment (more than 200 patients treated to a variety of treatment sites). The sequence processor system has enabled the delivery of complex treatment using computer-controlled treatment machines. The flexibility of the system allows integration with secondary devices and modification of procedural steps, making it possible to develop effective techniques for insuring safe and efficient computer-controlled conformal radiation therapy treatments.",Immunology
7492112,"Activity of penciclovir against Epstein-Barr virus. Penciclovir inhibited the productive replication cycle of Epstein-Barr virus (EBV) in assays measuring infectious virus production, viral antigen expression, and viral DNA synthesis. In the test measuring inhibition of EBV DNA synthesis, 50% effective concentrations of penciclovir and acyclovir were 2.3 +/- 0.8 and 2.2 +/- 0.6 micrograms/ml, respectively. The 50% cell growth inhibitory concentration of penciclovir was > 100 micrograms/ml for both P3HR-1 and Raji cells. Penciclovir is a selective inhibitor of EBV in cell culture.",Immunology
7491222,"Psychological response to HIV positivity in hemophilia. To compare the psychological and family adaptation of children and adolescents with hemophilia who were seropositive for human immunodeficiency virus type 1 (HIV-1) with an HIV-negative group of comparable age, demographic characteristics, and disease severity in a multi-site study. Cross-sectional, controlled study. Thirty-three hemophilia treatment centers throughout the United States. Ninety-one children and adolescents with hemophilia who were seropositive for HIV and 92 children and adolescents with hemophilia who were seronegative and of comparable age, demographic characteristics, and disease severity. HIV-seropositive children and adolescents reported less positive affect [(lower well being) (P < .05)], and more frequent hemophilia-related school absences were identified among HIV-infected patients (P < .005). However, the two groups demonstrated surprisingly comparable levels of psychological, social, hemophilia-related adjustment, general family relations, and hemophilia-related family adaptation, as reported by patients and parents. However, mothers of HIV-seropositive children and adolescents reported higher levels of general psychological distress (P < .008) and higher levels of distress related to hemophilia (P < .0002) than parents of HIV-negative children. Seropositive children and adolescents with hemophilia demonstrate psychological resilience and levels of psychological adjustment that were comparable to seronegative counterparts. However, mothers of seropositive children were more distressed than mothers of HIV-negative children. Practitioners should ensure that stressed mothers obtain necessary psychological support.",Immunology
7486801,"Mass versus activity: validation of an immunometric assay for bone alkaline phosphatase in serum. A detailed investigation of the performance of an immunometric assay for the quantitation of bone alkaline phosphatase (ALP) in serum showed that precision of this assay was similar to that of lectin precipitation and electrophoretic methods. Relationships for mass and activity measurements of the bone isoform using samples from children and patients with Paget's disease were similar for lectin and electrophoretic methods. Purified liver enzyme showed 100% cross reactivity in the immunometric assay. However, comparison of the slopes between bone ALP mass and total ALP activity using only samples with predominantly liver or bone isoforms showed that the cross reactivity of the liver isoform in serum was 18.3%. Experiments in which increasing amounts of a sample containing 90% of liver isoform adding to a serum sample from a patient with Paget's disease showed a cross reactivity of 16.5%. The reference range for bone ALP mass was 7-28 micrograms/L for men (n = 77) and 5-20 micrograms/L for women (n = 110) in the age group 20-50 years. In women over 50 years bone ALP was 28% higher. Increased bone ALP mass was also demonstrated in patients with Paget's disease (n = 59), liver disease (n = 95), chronic renal failure (n = 41) and hyperthyroidism (n = 17).",Immunology
7486727,"[Dyshidrotic pemphigoid]. Clinical expression of pemphigoid can sometimes be misleading. Localized dyshidrosis is rarely reported in the literature. We observed 4 cases of pemphigoid with unusual dyshidrosis lesions. Skin biopsy was unspecific in both cases. Immunofluorescence gave the diagnosis in both. One case responded to low-dose general corticosteroids associated with local applications of corticosteroids. The other patients required high-dose oral corticosteroids. Our cases illustrated the misleading dyshidrosis nature of certain pemphigoids and the need for repeated skin biopsies with immunofluorescence in case of recent development of dyshidrosis in elderly subjects. As in the literature, and despite the localized nature of the lesions, general corticosteroid treatment appears necessary in many cases.",Immunology
7483437,[Radiobiology and the progress of radiation oncology]. ,Immunology
7482645,"Amino acid transmitters in patients with headache during the acute phase of cerebrovascular ischemic disease. The pathophysiology of headache occurring at stroke onset is unknown. Migraine and ischemia share an excessive release of neuroexcitatory amino acids. Inhibitory amino acids also may be implicated in both diseases. We investigated whether fluctuations of these amino acids occur in headache accompanying cerebral infarction. We studied 100 patients with infarction in the territory of the middle cerebral artery. Neurological impairment was assessed using the Canadian Neurological Scale and Barthel Index. Size of infarction was determined with CT. Twenty-eight patients developed headache. Glutamate, aspartate, and taurine were quantified in blood and cerebrospinal fluid (CSF) within 24 hours of stroke onset with cationic exchange chromatography. Stroke subtypes, size of infarct on CT, and clinical scales were similar in patients with and without headache. Plasma glutamate level was 321.14 +/- 149.53 mumol/L in patients with headache and 233 +/- 107.23 mumol/L in those without headache (P < .005). Glutamate in CSF was higher in patients with headache (4.6 +/- 1.49 mumol/L) than in patients without headache (3.11 +/- 1.18 mumol/L) (P < .001). Aspartate concentrations in plasma and CSF were similar in both groups. Taurine concentrations in plasma were 103.10 +/- 52.82 mumol/L and 177.49 +/- 90.92 mumol/L in headache and nonheadache patients, respectively (P < .001). Taurine levels in CSF were 5.42 +/- 2.42 mumol/L in patients with headache and 9.27 +/- 5.31 mumol/L in those without headache (P < .001). No significant correlation was found between amino acid levels in plasma or CSF and size of infarction. Amino acid neurotransmitters play a role in the pathophysiology of headache that occurs at the onset of stroke. The ischemic penumbral area, more than the infarction itself, may cause a state of cortical hyperexcitability that would be responsible for the cortical release of amino acids and the induction of headache by altering pain perception mechanisms.",Immunology
7482427,"XVth Congress of the International Society on Thrombosis and Haemostasis. Jerusalem, Israel, June 11-16, 1995. Abstracts. ",Immunology
7482420,"Protein C deficiency: a database of mutations, 1995 update. On behalf of the Subcommittee on Plasma Coagulation Inhibitors of the Scientific and Standardization Committee of the ISTH. ",Immunology
7481465,"Dot-ELISA for the detection of IgM and IgG antibodies to Schistosoma mansoni worm and egg antigens, associated with egg excretion by patients. Human schistosomiasis, caused by Schistosoma mansoni, is highly prevalent in Brazil and usually diagnosed by time consuming stool analysis. Serological tests are of limited use in this disease, mainly for epidemiological studies, showing no discrimination between previous contact with the parasite and active infections. In the present study, we standardized and compared a Dot-ELISA for IgM and IgG antibodies against S. mansoni antigens from eggs and worms with a routine IgG and IgM immunofluorescence assay using similar antigens, in the study of sera from 27 patients who had quantified egg stool excretion. The positivity obtained for IgG Dot-ELISA was 96.3% and 88.9% for IgM Dot-ELISA with worm antigen and 92.6% and 90.9% with egg antigen. The IFI presented similar positivities using worm antigen, 92.6% (IgG) and 96.3% (IgM), and lower results with egg antigen, 77.8%(IgG and IgM). The patients studied were divided into two groups according to their egg excretion, with greater positivity of serological tests in higher egg excreters. When comparing the quantitative egg excretion and the serological titers of the patients, we detected a correlation only with IgM Dot-ELISA, with r = 0.552 (p = 0.0127). These data show that Dot-ELISA can be used for the detection of specific antibodies against S. mansoni in sera from suspected patients or in epidemiological studies and, with further purification of egg antigen and larger samples, IgM Dot-ELISA could be a possible tool for rough estimates of parasite burden in epidemiological studies.",Immunology
7481462,"[Participation of the adhesion molecules in the development of inflammatory response]. The authors present a review of adhesion molecules involved in inflammatory response. The recent description of adhesion molecules expressed on circulating leukocytes and endothelial cells, have been elucidated the leukocyte-endothelial interactions, essential for transmigration of leukocytes into tissues. It also indicates how anti-inflammatory drugs affect adhesion molecules. Finally, anti-adhesion therapies are discussed as new strategies for the treatment of inflammatory diseases.",Immunology
7481449,"[Duodenal cancer]. To analyze the general characteristics and outcome of a cohort of 6 patients with malignant duodenal tumors who underwent surgical radical resection. Longitudinal retrolective study. A third level medical center. Mean age was 48 years. M/F ratio was 2:1. The most frequent symptom was duodenal obstruction. Mean time between the beginning of the symptoms and the correct diagnosis was 15 months. Five of six patients demonstrated abnormalities on gastrointestinal X rays. All patients underwent Whipple resection, this was curative in 2, palliative in 2 more and not evaluated in two cases due to operative mortality. Five tumors were adenocarcinomas and one a carcinoid tumor. The long-term mortality occurred in 2 patients. The diagnosis of primary duodenal carcinoma needs a deep clinical suspicion, some patients when treated by radical resection may experience long-term survival.",Immunology
7481442,"[Uterine inversion: a cause of obstetric hemorrhage not to be missed. Discussion]. Severe obstetric bleeding is the primary cause of maternal morbidity and mortality. While classical causes such as uterine inertia or retained placenta are well known, inversion of the uterus is a rare cause which should not be missed. Only very rapid diagnosis and management can avoid serious and irreversible consequences. A case of inversion of the uterus is reported. The circumstances of onset and treatment possibilities are also discussed.",Immunology
7481440,"[Cervical pregnancy. Contribution of ultrasonography to diagnosis and therapeutic management]. Three recent cases of cervical pregnancy form the basis of a review of its principal clinical and ultrasonographic characteristics and their resultant management consequences. Ultrasonography enables better diagnosis and management, leading to the preservation of subsequent fertility.",Immunology
7481393,[Pure cerebellar syndrome associated with anti-Hu antibodies]. Anti-Yo is the most frequent antibody associated with pure paraneoplastic cerebellar degeneration. Cerebellar degeneration may be associated with anti-Hu antibody but other signs of nervous system involvement occur during the course of the disease. We report the case of a 69-year old man presenting with a severe acute cerebellar dysfunction of sudden onset. High titers of anti-Hu antibodies were detected in serum and cerebrospinal fluid by immunohistochemistry and western blot. No other neurological symptom was found after a follow-up of 18 months. Biopsy of a mediastinal lymph node revealed a poorly differentiated carcinoma. We suggest that the course of the anti-Hu syndrome may rarely be similar to the anti-Yo syndrome.,Immunology
7473498,The feeding of patients in hospital: a review. The feeding of patients in hospitals is a topical issue. This review considers the development of feeding practices in British hospitals and highlights disturbing aspects which may have a bearing on recovery. The issues highlighted may also exacerbate the problem of hospital-induced malnutrition. There is little evidence that the provision of food per se is a cause for concern. It is rather the many other factors which may contribute to the patients consuming an in adequate diet.,Immunology
7473305,"Visual pigments and spectral sensitivity of the diurnal gecko Gonatodes albogularis. The visual pigments and oil droplets in the retina of the diurnal gecko Gonatodes albogularis were examined microspectrophotometrically, and the spectral sensitivity under various adapting conditions was recorded using electrophysiological responses. Three classes of visual pigments were identified, with lambda max at about 542, 475, and 362 nm. Spectral sensitivity functions revealed a broad range of sensitivity, with a peak at approximately 530-540 nm. The cornea and oil droplets were found to be transparent across a range from 350-700 nm, but the lens absorbed short wavelength light below 450 nm. Despite the filtering effect of the lens, a secondary peak in spectral sensitivity to ultraviolet wavelengths was found. These results suggest that G. albogularis does possess the visual mechanisms for discrimination of the color pattern of conspecifics based on either hue or brightness. These findings are discussed in terms of the variation in coloration and social behavior of Gonatodes.",Immunology
7473303,"Assessing filial maturity through the use of the Filial Anxiety Scale. This study was an investigation of a late-in-life stage of development known as filial maturity (Blenkner, 1965). The Filial Anxiety Scale (Cicirelli, 1988) was used in a cross-sectional design to assess whether the filial anxiety of adult caregivers of aging parents varied in a manner consistent with Blenkner's concept. Results clearly supported Blenkner's position that there is a late-in-life period of development during which some individuals experience heightened levels of filial anxiety, or a filial crisis, prompted by the caregiving demands of an aging parent. This crisis is then followed by a significant decrease in anxiety and results in the attainment of a developmental period characterized by filial maturity.",Immunology
7473157,"Inhibition of lipopolysaccharide-induced pulmonary edema by isozyme-selective phosphodiesterase inhibitors in guinea pigs. There is a need for pharmacological agents for the treatment of pulmonary edema associated with the adult respiratory distress syndrome. Therefore, we examined the effects of isozyme-selective cyclic AMP phosphodiesterase (cAMP PDE) inhibitors, as well as aminophylline and dexamethasone, on the pulmonary edema, protein leakage into the airways and airway neutrophilia induced by aerosolized lipopolysaccharide (LPS) in intact guinea pigs. Twenty-four hours after LPS exposure lung wet/dry weight ratios increased from 4.9 +/- 0.004 to 5.8 +/- 0.02. Rolipram (PDE4 selective), CI-930 (PDE3 selective), aminophylline and dexamethasone (given p.o. 1 hr before and 4 hr after LPS exposure) inhibited pulmonary edema formation with ED50 values of 1.7, 0.5, 31 and 2.8 mg/kg, respectively. Maximum inhibition occurred with rolipram at 10 mg/kg (70 +/- 17%), CI-930 at 10 mg/kg (101 +/- 4%), aminophylline at 50 mg/kg (88 +/- 14%) and dexamethasone at 3 mg/kg (64 +/- 6%). Denbufylline and milrinone also inhibited pulmonary edema formation at 10 mg/kg i.p., supporting the inhibition of PDE4 and PDE3 as the mechanisms of action of rolipram and CI-930, respectively. Rolipram, CI-930, aminophylline and dexamethasone (at maximum doses for inhibiting pulmonary edema) inhibited the 3-fold increase in bronchoalveolar lavage albumin concentration 24 hr after LPS exposure (42 +/- 14%, 98 +/- 2%, 70 +/- 9% and 53 +/- 13%, respectively). However, none of these compounds (at maximum doses for inhibiting pulmonary edema) inhibited the corresponding 400-fold increase in lavage neutrophil counts.(ABSTRACT TRUNCATED AT 250 WORDS)",Immunology
7473032,"Stereotype threat and the intellectual test performance of African Americans. Stereotype threat is being at risk of confirming, as self-characteristic, a negative stereotype about one's group. Studies 1 and 2 varied the stereotype vulnerability of Black participants taking a difficult verbal test by varying whether or not their performance was ostensibly diagnostic of ability, and thus, whether or not they were at risk of fulfilling the racial stereotype about their intellectual ability. Reflecting the pressure of this vulnerability, Blacks underperformed in relation to Whites in the ability-diagnostic condition but not in the nondiagnostic condition (with Scholastic Aptitude Tests controlled). Study 3 validated that ability-diagnosticity cognitively activated the racial stereotype in these participants and motivated them not to conform to it, or to be judged by it. Study 4 showed that mere salience of the stereotype could impair Blacks' performance even when the test was not ability diagnostic. The role of stereotype vulnerability in the standardized test performance of ability-stigmatized groups is discussed.",Immunology
7472989,"Long-term complications in cases of isolated esophageal atresia treated with esophageal anastomosis. Long-term follow-up examination with esophagogastroduodenoscopy was performed on seven patients who had undergone successful delayed anastomosis for isolated esophageal atresia. The follow-up period ranged from 1.2 to 11.3 years (mean, 5.3). All patients had undergone fundoplication because of symptomatic gastroesophageal reflux (GER). Three anastomotic strictures had to be resected. At the time of the last follow-up examination, the subjective results were excellent for five patients and good for two. The last endoscopy showed macroscopic esophagitis in three and normal mucosa in four. The fundoplication was partly disrupted in two patients. In three patients the fundoplication was competent but partly intrathoracic. Histological examination showed moderate esophagitis in one, mild esophagitis in one, and normal mucosa in five patients; however, four patients were on continuous medication for esophagitis. In conclusion, the subjective results of patients with isolated esophageal atresia treated with esophageal anastomosis are good. However, long-term complications caused by GER are common in these patients. Therefore, active search and treatment of reflux is necessary for these patients.",Immunology
7472987,"Colonic atresia combined with Hirschsprung's disease: a diagnostic and therapeutic challenge. Three new cases of patients with co-occurrence of colonic atresia and Hirschsprung's disease and a review of the literature (n = 5) are presented in this report. All patients (n = 8) except one were full-term infants who had no other significant anomalies. The preterm infant had associated tetralogy of Fallot in addition to Hirschsprung's disease and colonic atresia. Six patients had atresia of the ascending colon, and two had atresia of the colon to splenic flexure. All colonic atresias were diagnosed neonatally; however, there was mean delay of 15.4 months (range, 1 mo to 5 years) in diagnosing associated Hirschsprung's disease. There were two deaths. A careful examination of the resected specimen to rule out Hirschsprung's disease is recommended. Performing a rectal biopsy must be considered for patients who initially were treated for colonic atresia and who have a slow return of normal gut function.",Immunology
7472956,"Amniotic band syndrome in fetal lambs. I: Fetoscopic release and morphometric outcome. A fetal lamb model of amniotic band syndrome (ABS) was developed to study the pathophysiology of banded extremities and evaluate the possibility of in utero treatment with the potential for functional recovery. Eight fetal lambs underwent banding of their extremities with umbilical tape at 100 days' gestation. Two lambs aborted after the open fetal surgery. The limbs of two unoperated newborn lambs served as controls in addition to five sham-operated control limbs that had no bands applied. Nine limbs were banded without reducing blood flow assessed by laser doppler (group 1), and 6 limbs were similarly banded and released fetoscopically at 125 days' gestation. Four limbs were banded, with a mean reduction in blood flow to the limb of 18.7% (group 2) by laser doppler flowmeter. Shortly after birth the lambs were killed, and segmental limb length, circumference, joint range of motion, and histology were evaluated. At birth, banded limbs showed marked brawny edema and absence of wool distal to the band. Segmental limb measurements showed shorter distal forelimbs in banded limbs compared with controls (10.97 +/- 0.59 versus 12.98 +/- 0.69, P < .05). Banded limbs were associated with progressive increase in hoof circumference (P < .03) and a decrease in joint range of motion (P < .003). In sharp contrast, there were no differences between fetoscopically released limbs and control limbs in any of the parameters measured. Histology of banded extremities showed edema, venous and lymphatic congestion, and fibrosis compared with controls. This model of ABS in fetal lambs is simple, reproducible, and replicates all the clinical features of extremity ABS.(ABSTRACT TRUNCATED AT 250 WORDS)",Immunology
7472933,"A prospective analysis of factors influencing outcome after fundoplication. Fundoplication remains a common operation in the brain-damaged pediatric patient, but recent reports suggest a poor outcome in these patients. The factors that might be associated with complications or recurrence after fundoplication have not been extensively examined. Fifty-six brain-damaged children, aged 6 months to 12 years, with documented gastroesophageal (GE) reflux underwent preoperative nutritional evaluations (percentage of ideal weight, albumin, nutrition risk index [NRI]) and documentation of medications (dexamethasone for bronchopulmonary dysplasia) before standard Nissen fundoplication. Hospital stay, intensive care unit (ICU) stay, and time on ventilator, as well as major postoperative complications (wound infection/dehiscence, pneumonia) were prospectively analyzed. Survival and recurrence rates 1 to 3 years postoperatively were also assessed. Eighty-two percent of patients were < 90% ideal weight, and 50% had NRI < 90 (normal = 100) and 29% had albumin < 3.5 g/dL. Albumin < 3.5 was significantly (P < .01) associated with prolonged hospitalization (26.8 + 2.2 versus 15.1 + 1.1 days) and ICU stay (13.8 + 1.0 versus 4.4 + .5 days) and time on ventilator (8.0 + 1.0 versus 1.8 + .4 days). NRI < 90 showed similar significant differences (P < .01). Ideal body weight < 90% was not significant. Major complications developed in 54% of patients; only two or more preoperative nutritional deficiencies, or a nutritional deficiency plus dexamethasone were significantly associated (P < .01). Recurrence occurred in 21% of patients and was significantly correlated with preoperative dexamethasone alone (P < .01), and especially when dexamethasone plus a nutritional deficit were present (low albumin, P < .001; low NRI, P < .005).(ABSTRACT TRUNCATED AT 250 WORDS)",Immunology
7472885,"Sensitivity of antigen ELISA test for detecting Trypanosoma evansi antigen in horses in the subtropical area of Argentina. The sensitivity of an antigen detection enzyme immunoassay (Ag-ELISA) based on a Trypanosoma brucei group-specific monoclonal antibody was evaluated to detect circulating Trypanosoma evansi antigen in horse sera. Three horses and 2 mules were experimentally infected with T. evansi. Circulating antigens were detected on 7 and 21 days postinfection. Antigen levels increased during the course of the illness and remained high even when parasitemia was low or when parasites could not be detected. Antigens were cleared from serum when drug treatment was effective but persisted when it was not. In 6 outbreaks of ""mal de caderas"" involving 125 horses, T. evansi was found in 78 horses using standard parasite detection methods and antigenemia was detected in 58 of them (74%). The Ag-ELISA sensitivity rate varied between 63% and 100% for the 6 different outbreaks. A combination of Ag-ELISA and parasitologic methods diagnosed a total of 93 infected animals. These results show that the Ag-ELISA test is useful both to diagnose T. evansi and to assess the efficacy of drug treatment in horses.",Immunology
7472874,"Detection of Trichinella spiralis muscle larvae in naturally infected horses. Human trichinellosis outbreaks related to horsemeat consumption have been reported in France and Italy in recent years. In order to determine if Trichinella is present in horses slaughtered at an abattoir in the State of Mexico, diaphragm muscle tissue samples (22-37 g) from 80 horses were examined by artificial digestion. Four of these samples had larvae that were characterized as Trichinella sp. by morphological criteria and as Trichinella spiralis by the polymerase chain reaction.",Immunology
7472844,"Clearance of chronic hepatitis B virus infection in young children after alpha interferon treatment. Nine children aged 18 months to 17 years (mean 5.7 years) with chronic hepatitis b virus infection and chronic active hepatitis were treated with 5 to 6 million units/m2 of body surface area of interferon -alpha 2b administered subcutaneously three times per week for 4 months (n = 1) or 6 months (n = 8). At 12 months after the start of therapy, six children less than 3 years of age responded to the treatment (three completely and three partially), whereas only one of three children older than 7 years of age responded. We conclude that IFN treatment may be effective in children with chronic HBV infection, especially when administered while they are young.",Immunology
7472830,Association of hypertrophic maxillary frenulum with hypoplastic left heart syndrome. We report a previously unrecognized association between a hypertrophic frenulum separating the alveolar portion of the maxillary palatine suture with hypoplastic left heart syndrome in one fetus and seven children. A hypertrophic frenulum was not found in 25 pediatric cardiology patients without hypoplastic left heart syndrome. This finding may provide a marker for suspecting hypoplastic left heart syndrome in the neonate.,Immunology
7472738,"Relationships between facial morphology and activity of orofacial muscles in patients with a complete upper and a partial lower denture. In a sample of 30 partially edentulous subjects, provided with an immediate complete upper denture and a partial lower denture and followed for 2 years, a correlation analysis was performed between facial morphology, as measured by lateral head films, and EMG peak mean voltages of the anterior temporal and masseter muscles when clenched and during swallowing and chewing, and of the lip muscles during swallowing. At the pre-treatment stage, when the patients occluded on a residual anterior dentition, correlations between facial morphologic characteristics and peak mean voltages of the jaw closing muscles indicated stronger muscle activity in individuals with a square facial type. No significant associations were observed between muscle activity and the age of the subjects, which ranged from 36 to 71 years. After placement and use of the dentures a significant forward-upward rotation of the mandible with a decrease in overbite occurred, as a result of resorption of the edentulous maxillary ridge. At the 1 year stage of denture use, the elevator activity showed no significant correlations with facial morphology. On the other hand, negative correlations were observed especially between the anterior temporal activity and anterior overbite. Similar negative correlations were observed for the lip activity during swallowing, especially of the upper lip. These findings suggest occlusal contact between the incisors during the various functions in subjects with a small overbite. The findings further suggest that the anterior temporal and the upper lip muscles are sensitive to changes in anterior occlusal relations of the dentures.",Immunology
7472655,"Geraniol, an inhibitor of mevalonate biosynthesis, suppresses the growth of hepatomas and melanomas transplanted to rats and mice. Farnesyl-pyrophosphate is required for the posttranslational modification of G proteins including p21 ras, prelamin A and lamin B, each of which plays an essential role in cell proliferation. As a consequence, competitive inhibitors of mevalonate synthesis, the rate-limiting substrate for the synthesis of the prenyl-pyrophosphates, arrest cultured cells at the G1/S interface of the cell cycle and initiate apoptotic cell death. Geraniol, an acyclic monoterpenoid alcohol, suppresses 3-hydroxy-3-methylglutaryl coenzyme A (HMG-CoA) reductase activity and concomitantly arrests the growth of cultured tumor cells. We evaluated the impact of dietary geraniol on the growth of two tumors. In the first study, geraniol (23 mmol/kg diet, 350 mumol/d) was fed to male buffalo rats for 14 d before and for 42 d after the transplant of Morris 7777 hepatomas. Tumor growth was suppressed (P < 0.001). In the second study, the dose-dependent impact of geraniol on the growth of B16 melanomas was assessed. Dietary geraniol (0.65, 6.5 and 65 mmol/kg diet) was fed to female C57BL mice for 14 d before and for 21 d after tumor transplant. Tumor growth was suppressed (P < 0.02) by 6.5 and 65 mmol geraniol/kg diet.",Immunology
7472637,"Pain management instruction in nursing curricula. The persistent problem of inadequate assessment of pain, undermedication for pain by nurses, and reports of nurses themselves that they are unprepared to manage various types of pain provided direction for this study. The purpose was to investigate time allocated to pain content, the nature of the theoretical content and clinical experiences in nursing curricula, and faculty satisfaction with their graduates' preparation for pain management in baccalaureate and associate degree programs. The 80% response rate included 177 associate degree and 174 baccalaureate nursing programs. No significant differences between associate degree and baccalaureate programs for the amount of time allocated to pain content, pharmacological management of pain and nonpharmacological pain relief methods were found. Nonpharmacological methods are introduced to students, but most programs do not provide in-depth instruction. The majority of respondents indicated they were satisfied with their graduates' preparation for pain management, but less satisfied with the amount of time allocated to pain content in the curriculum. Implications for education and research are discussed.",Immunology
7472571,Lateral discs and nerve sheath tumors. ,Immunology
7472557,"Anesthetic-dependent pial arteriolar response to ethanol. Anesthetic agents are often administered in the presence of ethyl alcohol, both in research and in the clinical setting. The authors tested the hypothesis that anesthetic agents may affect cerebrovascular responses to ethanol. A closed cranial window preparation in the rat was used to compare the response of pial arterioles to topically applied ethanol (0.01% to 1% vol/vol) in the presence of alpha-chloralose/urethane (50 and 600 mg/kg, respectively) or halothane (0.5% to 1%) anesthesia. Heart rate, mean arterial blood pressure, and blood gas levels were maintained stable and within the physiological range throughout each experiment. Ethanol induced significant vasoconstriction in alpha-chloralose/urethane-anesthetized animals (multivariate analysis of variance (MANOVA), p = 0.039); conversely, ethanol induced significant vasodilation of the pial arterioles in halothane-anesthetized animals (MANOVA, p = 0.017). These responses were significantly different from one another (MANOVA, p = 0.001). Thus, the choice of anesthetic agent alters the cerebrovascular response to ethanol, and care should be taken to ascertain the influence of anesthesia in both research and clinical settings.",Immunology
7472534,"[Pathologic anatomy of cytomegalovirus encephalomyelitis and varicella-zona virus encephalomyelitis]. Cytomegalovirus (CMV) infection of the nervous system is frequent in acquired immunodeficiency syndrome (AIDS) and can be responsible for encephalitis, encephalomyelitis, meningoradiculitis or polyradiculo-neuropathy. Encephalitis is characterized at microscopy by its periventricular and cerebellar location, and by the presence of cytomegalic cells, containing intranuclear and/or intracytoplasmic inclusions, microglial nodules and necrotic foci. The virus can infect almost all types of cells. Coexistence of CMV and HIV has been observed in giant cells of macrophagic origin. It has been suggested that the two viruses could act in synergy. The nervous system is seldom infected by the varicella-zoster virus (VZV) in AIDS. The infection can be responsible for multifocal leukoencephalitis, ventriculitis, vascular lesions associated or not with cerebral infarction, or with meningomyeloradiculitis. In almost all cell types Cowdry's type A intranuclear inclusions have been found. The virus can be demonstrated by immunohistochemistry or in situ hybridization. VZV antigens have been reported in the walls of vessels damaged by a non inflammatory obliterating vasculopathy or by a granulomatous angiitis. Coexistence of VZV and HIV has been observed in giant cells of macrophagic origin, and synergy between those two viruses has been suspected.",Immunology
7472532,"[AIDS dementia. Prognosis and therapeutic perspectives]. AIDS dementia complex is a severe complication related to HIV infection of the central nervous system. It has been estimated to affect about 7% of AIDS patients, with an increased frequency in very young and old patients. In most cases, it appears in severely immuno-deficient patients. Typically, AIDS dementia presents as a subcortical dementia with cognitive, behavioural and motor decline. The mechanism of the dementia remains unclear; the neuronal loss is controversial and a neurotoxicity due to NMDA receptor activation is likely. No treatment proved to be efficient. Beneficial effect of anti-NMDA receptor antagonists are under investigation.",Immunology
7472464,"PDGFs protect hippocampal neurons against energy deprivation and oxidative injury: evidence for induction of antioxidant pathways. Platelet-derived growth factors (PDGFs) and PDGF receptors are expressed in brain, where their functions are largely unknown. We tested the hypothesis that PDGFs play a role in promoting the survival of neurons exposed to metabolic and oxidative insults. Exposure of rat and mouse hippocampal cell cultures to glucose-deficient medium or the hydroxyl radical-promoting agent FeSO4 resulted in progressive neuronal loss. Pretreatment of cultures with PDGF-AA or PDGF-BB resulted in highly significant attenuation of glucose deprivation- and FeSO4-induced neuronal degeneration. In each injury paradigm the neuroprotective actions of the PDGFs were concentration dependent (3-100 ng/ml). In the case of glucose deprivation, significant protection was seen when cells were exposed to PDGFs prior to, or up to 8 hr following, the onset of glucose deprivation. Pretreatment with PDGFs was required for protection against FeSO4-induced oxidative injury. Western blot and immunocytochemical analyses demonstrated that cultured embryonic hippocampal neurons expressed both PDGF alpha- and beta-receptors. PDGFs induced tyrosine phosphorylation of several proteins including a band at 180 kDa, the molecular weight of PDGF receptors. Induction of peroxide accumulation in neurons by FeSO4 was attenuated in cultures pretreated with PDGFs, suggesting that PDGFs enhanced cellular antioxidant mechanisms. Measurements of anti-oxidant enzyme activities in control and PDGF-treated cultures showed that both PDGF-AA and PDGF-BB increased both catalase and glutathione peroxidase activities, and PDGF-AA also increased superoxide dismutase activities. These findings suggest that PDGFs, which are widely expressed in brain and induced in response to injury, may play roles in protecting neurons against metabolic and oxidative insults.",Immunology
7471255,[Two cases of rate vascular retinal diseases in young soldiers (author's transl)]. ,Immunology
