pubmed_id,titre,abstract
7526699,Interferon-gamma downregulates CFTR gene expression in epithelial cells,"Cystic fibrosis (CF) is caused by mutations in the CF transmembrane conductance regulator (CFTR) gene, resulting in defective transepithelial Cl- transport"
7525308,Deficient expression of co-stimulatory molecules on Leishmania-infected macrophages,Co-stimulatory signals are necessary for the full activation of T cells for growth and effector function
7524786,Endoscopic electrocautery of the upper thoracic sympathetic chain: a safe and simple technique for treatment of sympathetically maintained pain,"Transthoracic endoscopic electrocautery of the upper thoracic ganglia was applied to seven patients with sympathetically maintained pain (SMP) in the upper extremity, diagnosed by local anaesthetic stellate ganglion blocks"
7524777,Intraoperative anaesthetic management of hypoxaemia during transthoracic endoscopic sympathectomy,To present our experience and evaluate intraoperative arterial oxygen desaturation during anaesthesia for transthoracic endoscopic sympathectomy (TES)
7524246,[Sinus node dysfunction in children without heart defect],Sinus node dysfunction (SND) is a rare cause of bradycardia in children without structural heart disease
7524116,Extraction and quantitation of neuropeptides in bone by radioimmunoassay,The feasibility of extracting and quantifying neuropeptides in bone by radioimmunoassay was investigated in a study including 60 diaphyseal rat femora
7524012,[Preoperative cytodiagnosis by needle aspiration of follicular thyroid lesions],"In the period 1989-92, 2729 F.N.A.B"
7523727,National patterns of prostate cancer treatment by radical prostatectomy: results of a survey by the American College of Surgeons Commission on Cancer,"To evaluate the patterns of use of radical prostatectomy for the treatment of prostate cancer in the United States, the American College of Surgeons Commission on Cancer in association with the American Cancer Society and American Urological Association surveyed 484 institutions concerning 2,122 patients treated in 1990"
7523684,"Preparation, characterization and crystallization of an antibody Fab fragment that recognizes RNA",Crystal structures of native Fab and three Fab-mononucleotide complexes
7523291,Voltage-dependent ion channels in glial cells,"Glial cells, although non-excitable, express a wealth of voltage-activated ion channels that are typically characteristic of excitable cells"
7523018,Cellular localization of inducible nitric oxide synthase in experimental endotoxic shock in the rat,1
7522710,Intermediate filaments in oral neoplasia,I
7522604,Compositional frequencies of amino acids in the proteins and the genetic code,"It was found that amino acid compositional frequencies in proteins demonstrate a pseudosymmetry pattern in respect of the genetic code arrangement as we discussed in earlier papers (Siemion and Stefanowicz, 1992a, BioSystems, 27, 77-84; Siemion and Stefanowicz, 1992b, Bull"
7522587,Differences between American Indian and non-Indian children referred for psychological services,"The physical and social characteristics of 60 American Indian children referred for psychological services were compared to those of 60 matched, non-Indian controls"
7522379,[Degree of substitution and volume expanding effect of various medium molecular weight hydroxyethyl starch solutions],"Hydroxyethylstarch (HES) is today one of the most frequently used artificial plasma substitutes in prehospital, as well as in clinical settings"
7522286,Amlodipine; clinical relevance of a unique pharmacokinetic profile,"Although it has long been recognized that many antihypertensive drugs exhibit large intersubject variability in their disposition characteristics, the concept that this translates into a high variability in response has largely been ignored"
7522124,The role of radiation therapy in the treatment of colorectal cancer,Implications for the older patient
7522040,Allelotype study of esophageal carcinoma,"To investigate genetic features of esophageal cancer, we have examined 93 squamous cell carcinomas of the esophagus for loss of heterozygosity (LOH), using 41 restriction fragment length polymorphism (RFLP) markers representing all autosomal chromosomes"
7521790,Nerve fibers immunoreactive for substance P and calcitonin gene-related peptide in the cervical spinal ventral roots of the mouse,We demonstrate the existence of nerve fibers possessing substance P (SP) and calcitonin gene-related peptide (CGRP) immunoreactivity in the mouse cervical ventral roots
7521544,Nitric oxide released by platelets inhibits neutrophil B2 integrin function following acute carbon monoxide poisoning,Carbon monoxide (CO) poisoning has been reported to temporarily inhibit B2 integrin adherence molecules on leukocytes in previous studies in a rat model
7521540,Mutations in aquaporin-1 in phenotypically normal humans without functional CHIP water channels,"The gene aquaporin-1 encodes channel-forming integral protein (CHIP), a member of a large family of water transporters found throughout nature"
7521523,In vivo expression and mitochondrial import of normal and mutated tRNA(thr) in Leishmania,Evidence suggests that mitochondria of protozoans and plants contain nuclear-encoded tRNAs
7521507,Antigenicity and antigenic relatedness of the outer membrane proteins of Shigella species,"SDS-PAGE analysis of the outer membrane proteins (OMP) of Shigella dysenteriae, S"
7521504,Factors affecting size and configuration of neodymium:YAG (Nd:YAG) laser lesions in the prostate,Laser surgery for benign prostatic hypertrophy is a clinical reality and a promising alternative to traditional transurethral electroresection of the prostatic adenoma (TURP)
7521337,"Prolonged peak elevations in cytoplasmic free calcium ions, derived from intracellular stores, correlate with the extent of thrombin-stimulated exocytosis in single human umbilical vein endothelial cells",We have used indo-1-loaded human endothelial cells (EC) in monolayer culture and quantitative laser scanning fluorescence microscopy techniques to investigate the magnitude and duration of the change in cytoplasmic free calcium ([Ca2+]i) required for thrombin-stimulated von Willebrand factor (vWF) secretion in individual EC
7521334,A yeast metal resistance protein similar to human cystic fibrosis transmembrane conductance regulator (CFTR) and multidrug resistance-associated protein,"Members of the ATP binding cassette (ABC) protein superfamily transport a variety of substances across biological membranes, including drugs, ions, and peptides"
7521332,The role of the I domain in ligand binding of the human integrin alpha 1 beta 1,"We report here the analysis of potential ligand binding domains within the human integrin alpha 1 subunit, a known collagen/laminin receptor"
7521155,Acquisition of resistance to 6-azauridine through DNA amplification in neoplastic but not normal osteoblasts,"In this communication, we have characterized the resistance to AZUrd in tumorigenic mouse C3H-OS osteosarcoma cells and non-tumorigenic MC3T3-E1 osteoblast cells"
7521106,Quantitative analysis of soluble cell adhesion molecules in otitis media with effusion,The levels of the soluble intercellular adhesion molecule 1 (sICAM-1) and soluble granule membrane protein-140 (sGMP-140) were measured in middle ear effusions (MEEs) of otitis media (OM) with ELISA
7520526,Three NF-kappa B binding sites in the human E-selectin gene required for maximal tumor necrosis factor alpha-induced expression,"Transcription of the gene encoding the endothelial cell-leukocyte adhesion molecule (ELAM-1; E-selectin) is induced in response to various cytokines, including tumor necrosis factor-alpha (TNF-alpha) and interleukin-1"
7520127,"Regulation of insulin receptor, insulin receptor substrate-1 and phosphatidylinositol 3-kinase in 3T3-F442A adipocytes","Effects of differentiation, insulin, and dexamethasone"
7520126,Cooperative interactions between general anesthetics and QX-222 within the pore of the acetylcholine receptor ion channel,"To test the hypothesis that general anesthetics block nicotinic acetylcholine receptor channels by binding within the pore of the channel, we looked for competitive interactions between ether and QX-222 at the single channel current level"
7519992,Impact of prostate-specific antigen density in benign prostatic hyperplasia and prostate carcinoma,Preliminary results
7519728,Induction of tandem-base change mutations,"Four databases with sequence changes for 12000 mutations in mammalian and bacterial cells were searched for genotoxic agents inducing tandem mutations, in which two adjacent base pairs are changed"
7519439,Comparison of testosterone metabolism in benign prostatic hyperplasia and human prostate cancer cell lines in vitro,"Pathways of testosterone metabolism in tissue slices and cell suspensions of human benign hyperplastic prostate (BPH) tissue and human prostate cancer cell lines (DU145, HPC-36M, PC-3/MA2 and LNCaP) were investigated"
7519367,Esophageal mucosal blood flow: a central role for calcitonin gene-related peptide,Esophageal mucosal blood flow is a dynamic phenomenon dependent on luminal content
7519267,Immunocytochemical localization of bone morphogenetic proteins (BMPs) in salivary gland pleomorphic adenoma,"The localization of bone morphogenetic protein (BMP)-1, -2, -3 and transforming growth factor (TGF)-beta in normal salivary gland and pleomorphic adenoma of the salivary gland has been examined immunocytochemically"
7519205,Synergy of IL-1 and stem cell factor in radioprotection of mice is associated with IL-1 up-regulation of mRNA and protein expression for c-kit on bone marrow cells,"Administration of IL-1 and stem cell factor (SCF) to mice 18 h before lethal 60Co whole-body irradiation resulted in synergistic radioprotection, as evidenced by increased numbers of mice surviving 1,200 to 1,300 cGy doses of radiation and the recovery of increased numbers of c-kit+ bone marrow cells at 1 and 4 days after the lethal dose of 950 cGy"
7519195,Human fallopian tube expresses granulocyte-macrophage colony stimulating factor (GM-CSF) and GM-CSF alpha and beta receptors and contain immunoreactive GM-CSF protein,"Using specific primers, 35S-40mer oligonucleotide probe and monoclonal antibody, reverse transcription polymerase chain reaction (RT-PCR), in situ hybridization, and immunohistochemical observations respectively revealed that human fallopian tube expresses granulocyte macrophage colony stimulating factor (GM-CSF) mRNA and protein, as well as GM-CSF alpha and beta receptors mRNA"
7518930,Improvement of patency in small veins following dextran and/or low-molecular-weight heparin treatment,"A clinical dose of dextran 70 had significant antithrombotic effects in small, severely traumatized veins, and the effect was enhanced by the addition of low-molecular-weight heparin"
7518860,Sequential high-dose therapy with peripheral-blood progenitor-cell support in low-grade non-Hodgkin's lymphoma,To evaluate the feasibility of a sequential high-dose therapy with peripheral-blood progenitor-cell (PBPC) support in patients with follicular lymphoma
7518730,The establishment and continuous subculturing of normal human adult hepatocytes: expression of differentiated liver functions,"The use of normal adult liver hepatocytes in cell culture for biochemical, toxicological and pharmacological studies has been greatly limited owing to the loss of replicative capacity and differentiated liver function"
7518371,Expression of non-glial intermediate filament proteins in gliomas,"Non-glial intermediate filament (IMF) proteins, as well as glial fibrillary acidic protein (GFAP) and vimentin, were studied by immunohistochemistry in 24 gliomas including low grade astrocytoma, pleomorphic xanthoastrocytoma, anaplastic astrocytoma, glioblastoma, oligodendroglioma, ependymoma and ependymoblastoma, which were fixed in ethanol and embedded in paraffin"
7517990,"Changes in subcellular localization and surface expression of L-selectin, alkaline phosphatase, and Mac-1 in human neutrophils during stimulation with inflammatory mediators","The localization of the adhesion protein L-selectin in human neutrophils was determined by subcellular fractionation and immunoelectron microscopy and compared with the localization of Mac-1 (alpha m beta 2) and alkaline phosphatase, the marker for secretory vesicles"
7517888,Nitric oxide synthase inhibitors 7- and 6-nitroindazole relax smooth muscle in vitro,"7-Nitroindazole induced concentration-dependent relaxation of precontracted rabbit aorta, dog middle cerebral artery, rat anococcygeus muscle and rat stomach fundus"
7517402,Mechanism of cigarette smoke condensate induced adhesion of human monocytes to cultured endothelial cells,Cigarette smoking is ranked among the leading risk factors in the etiology of atherosclerotic vascular disease
